,Geo_ID,Name,Median_income
0,12001,"Alachua County, Florida",53314
1,12003,"Baker County, Florida",63860
2,12005,"Bay County, Florida",60473
3,12007,"Bradford County, Florida",48803
4,12009,"Brevard County, Florida",63632
5,12011,"Broward County, Florida",64522
6,12013,"Calhoun County, Florida",38098
7,12015,"Charlotte County, Florida",57887
8,12017,"Citrus County, Florida",48664
9,12019,"Clay County, Florida",74059
10,12021,"Collier County, Florida",75543
11,12023,"Columbia County, Florida",47750
12,12027,"DeSoto County, Florida",39945
13,12029,"Dixie County, Florida",44287
14,12031,"Duval County, Florida",59541
15,12033,"Escambia County, Florida",56605
16,12035,"Flagler County, Florida",62305
17,12037,"Franklin County, Florida",52679
18,12039,"Gadsden County, Florida",42661
19,12041,"Gilchrist County, Florida",50983
20,12043,"Glades County, Florida",38088
21,12045,"Gulf County, Florida",53812
22,12047,"Hamilton County, Florida",39346
23,12049,"Hardee County, Florida",41395
24,12051,"Hendry County, Florida",38843
25,12053,"Hernando County, Florida",53301
26,12055,"Highlands County, Florida",46895
27,12057,"Hillsborough County, Florida",64164
28,12059,"Holmes County, Florida",41809
29,12061,"Indian River County, Florida",61594
30,12063,"Jackson County, Florida",43416
31,12065,"Jefferson County, Florida",53080
32,12067,"Lafayette County, Florida",56458
33,12069,"Lake County, Florida",60013
34,12071,"Lee County, Florida",63235
35,12073,"Leon County, Florida",57359
36,12075,"Levy County, Florida",43029
37,12077,"Liberty County, Florida",42438
38,12079,"Madison County, Florida",39503
39,12081,"Manatee County, Florida",64964
40,12083,"Marion County, Florida",50808
41,12085,"Martin County, Florida",69769
42,12025,"Miami-Dade County, Florida",57815
43,12087,"Monroe County, Florida",73153
44,12089,"Nassau County, Florida",77504
45,12091,"Okaloosa County, Florida",67390
46,12093,"Okeechobee County, Florida",47020
47,12095,"Orange County, Florida",65784
48,12097,"Osceola County, Florida",58513
49,12099,"Palm Beach County, Florida",68874
50,12101,"Pasco County, Florida",58084
51,12103,"Pinellas County, Florida",60451
52,12105,"Polk County, Florida",55099
53,12107,"Putnam County, Florida",39975
54,12109,"St. Johns County, Florida",88794
55,12111,"St. Lucie County, Florida",59807
56,12113,"Santa Rosa County, Florida",77260
57,12115,"Sarasota County, Florida",69490
58,12117,"Seminole County, Florida",73002
59,12119,"Sumter County, Florida",63323
60,12121,"Suwannee County, Florida",47218
61,12123,"Taylor County, Florida",43563
62,12125,"Union County, Florida",55463
63,12127,"Volusia County, Florida",56786
64,12129,"Wakulla County, Florida",72941
65,12131,"Walton County, Florida",68111
66,12133,"Washington County, Florida",41806
