LocationID,ACCESS2,ARTHRITIS,BINGE,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
1001,14.3,29.3,14.1,6.5,10.2,86.4,6.9,77.0,69.5,7.7,28.1,26.5,19.8,64.0,11.3,2.8,26.4,77.5,15.8,35.5,13.3,38.4,3.4,16.3
1003,13.6,27.3,17.3,6.7,9.6,87.3,6.0,75.7,67.5,7.1,29.0,28.7,18.5,66.3,9.5,2.6,23.5,74.0,14.8,29.4,11.6,36.4,3.0,13.4
1005,21.8,33.2,12.3,6.1,11.7,84.1,9.0,78.5,62.1,10.5,21.8,22.9,25.5,46.6,16.9,3.9,36.8,75.9,19.0,40.8,18.1,40.9,5.1,27.1
1007,17.3,30.6,15.0,6.4,10.3,84.8,7.6,76.3,65.7,9.1,24.7,24.8,23.1,57.6,12.6,3.0,31.2,73.3,17.1,38.4,15.1,40.1,3.8,20.7
1009,17.0,30.1,15.1,6.6,10.2,84.1,7.5,74.2,63.9,9.0,25.4,24.8,23.0,57.1,11.3,2.9,30.1,71.5,17.1,33.7,14.8,38.8,3.5,19.3
1011,22.7,33.0,11.8,5.8,11.8,85.3,8.8,79.8,61.3,9.9,20.2,19.8,24.9,46.6,18.5,4.1,38.1,76.7,18.2,45.6,17.9,44.7,5.5,28.5
1013,18.6,33.8,12.2,6.3,11.6,84.9,8.0,78.2,62.3,9.6,22.5,21.0,22.8,49.4,15.3,3.5,35.6,73.4,18.5,41.4,16.9,42.0,4.6,24.8
1015,15.9,31.6,13.2,6.6,11.2,85.4,7.6,77.0,64.1,9.0,24.8,22.3,21.2,56.9,12.7,3.1,29.3,72.3,17.8,41.0,15.2,38.3,3.8,19.1
1017,17.8,31.4,13.2,6.3,11.2,85.2,7.8,78.4,62.5,9.1,24.3,22.2,23.2,54.2,14.4,3.3,32.7,74.8,17.6,39.1,15.8,40.5,4.3,22.4
1019,16.3,32.2,15.4,6.6,10.5,83.8,7.9,74.7,62.3,9.7,26.0,24.2,23.6,55.8,12.0,3.0,30.9,71.0,18.1,38.7,15.6,37.9,3.7,20.9
1021,18.2,31.4,14.3,6.5,10.7,84.4,8.0,74.7,65.9,9.6,24.8,21.9,23.4,57.3,13.0,3.1,33.0,72.0,17.8,40.1,15.7,38.7,3.8,21.2
1023,18.2,32.2,12.7,6.3,11.5,84.7,7.9,78.0,61.2,9.5,22.7,23.3,23.3,51.9,14.6,3.5,34.0,75.0,18.3,42.7,16.3,41.7,4.5,23.7
1025,19.1,31.2,13.1,6.2,11.5,84.1,8.3,78.8,62.0,9.7,22.4,22.7,24.3,52.3,15.6,3.5,35.8,74.9,18.5,40.7,17.0,42.7,4.6,23.7
1027,17.7,32.7,14.4,6.5,11.1,84.0,8.0,75.6,62.1,10.1,24.6,22.4,25.2,53.8,13.0,3.2,32.5,73.9,18.7,35.9,16.4,38.9,4.0,23.4
1029,16.6,31.1,15.1,6.6,10.5,83.9,7.8,73.9,64.2,9.8,25.0,23.5,24.1,57.9,11.6,3.0,30.4,72.1,18.2,36.7,15.5,38.2,3.7,21.1
1031,15.1,29.1,14.4,6.6,10.2,85.3,6.9,76.7,66.5,8.0,27.0,25.2,21.4,59.2,12.2,2.9,29.8,75.8,15.9,35.8,13.8,37.4,3.4,17.2
1033,15.6,29.8,15.0,6.5,10.5,85.3,7.4,75.9,65.0,8.8,26.4,23.7,22.0,57.3,12.1,2.9,29.7,73.6,17.0,37.9,14.4,39.8,3.6,17.9
1035,20.3,32.5,12.5,6.2,11.8,83.9,8.5,78.5,59.6,10.3,20.5,20.3,25.8,47.0,16.0,3.7,38.6,72.2,19.2,43.4,17.5,43.9,4.9,27.0
1037,18.1,32.0,13.7,6.4,11.1,84.8,8.0,76.8,62.5,9.5,23.3,23.7,24.6,53.2,14.0,3.3,33.2,73.6,17.9,40.6,16.1,41.2,4.2,22.9
1039,15.8,31.6,14.6,6.5,10.9,84.6,7.7,74.9,66.3,9.1,27.0,26.8,23.4,56.0,12.4,3.0,31.4,74.0,17.5,37.6,15.4,37.7,3.7,20.2
1041,17.4,31.9,13.8,6.4,11.0,84.3,7.8,76.2,65.3,9.4,25.3,22.4,23.1,52.8,13.3,3.2,31.7,73.0,18.2,36.4,15.8,38.6,4.0,21.9
